Date,GLD,SP_open,DJ_open,EG_open,OF_Open,OS_Open,SF_Open,USB_Open,PLT_Open,PLD_Open,USDI_Open,GDX_Open,USO_Open
16-02-2012,166.330002,134.570007,12779.80957,66.099998,118.9,101.92,56240,1.984,1635.85,683.7,79.86,52.939999,39.029999
17-02-2012,168.289993,136.520004,12903.33008,69,120.13,102.36,56288,2,1629.6,696.7,79.485,55.299999,39.709999
21-02-2012,169.649994,136.729996,12949.33984,68.349998,120.07,105.67,56348,2.061,1647.55,695.7,79.2,55.009998,40.130001
22-02-2012,170.399994,136.259995,12966.21973,71.849998,121.5,106.02,57171,2.002,1690.9,709.8,79.2,55.580002,40.5
23-02-2012,172.690002,135.960007,12937.08008,73.949997,122.73,105.96,57243,1.996,1725.2,721.8,79.345,57.040001,40.560001
24-02-2012,172.630005,136.929993,12981.2002,75.599998,124.01,108.67,58580,1.977,1724.7,717.8,78.68,57.150002,41.599998
27-02-2012,172.139999,136.020004,12981.12988,74.800003,125.25,109.68,58540,1.925,1717.6,711.2,78.45,56.27,41.529999
28-02-2012,172.839996,137.199997,12976.74023,76.5,123.39,107.96,58560,1.941,1704.55,705.1,78.55,56.549999,41.369999
29-02-2012,173.190002,137.759995,13005.41992,77.900002,121.61,106.47,60687,1.974,1724.65,719.95,78.22,57.509998,40.849998
01-03-2012,166.100006,137.309998,12952.29004,76.75,123,106.82,58226,2.03,1677.55,704.5,78.8,55.540001,41.139999
02-03-2012,166.229996,137.639999,12980.75,76.550003,126.16,108.76,58220,1.979,1705.95,714.55,78.825,55.389999,41.279999
05-03-2012,165.770004,137.100006,12977.33984,73.900002,123.37,106.76,58204,2.007,1699.15,713.8,79.515,54.34,40.93
06-03-2012,162.149994,135.350006,12958.65039,69.400002,124.39,107.12,58770,1.95,1667.65,685,79.37,52.549999,40.099998
07-03-2012,162.759995,135.059998,12756.12012,70.25,122.19,104.94,57989,1.972,1618.8,668,79.83,52.580002,40.029999
08-03-2012,164.740005,136.520004,12835.53027,71.849998,124.05,106.25,58430,2.016,1634.45,696.4,79.785,53.23,40.68
09-03-2012,163.639999,137.300003,12908.62012,70.75,125.48,106.92,58950,2.03,1664.45,702.5,79.225,52.950001,40.810001
12-03-2012,165.330002,137.550003,12920.58008,70.699997,125.84,107.51,58980,2.037,1690.4,703.55,80.025,52.950001,40.560001
13-03-2012,163.940002,138.320007,12953.2002,70.050003,125.5,106.56,58479,2.126,1697.2,701.5,79.82,52.209999,40.580002
14-03-2012,159.610001,140.100006,13177.15039,69.25,126.12,106.7,58200,2.274,1693.45,707.7,80.15,51.349998,40.669998
15-03-2012,159.729996,140.119995,13192.96973,67,125.12,105.54,57000,2.279,1673.15,689.55,80.63,50.23,40.41
16-03-2012,160.080002,140.360001,13253.50977,67.150002,122.55,105.45,57944,2.298,1688.35,707.1,80.23,49.950001,40.43
19-03-2012,160.850006,140.210007,13231.94043,67.449997,125.6,107.2,57349,2.375,1678.8,701.4,80.065,50.07,41.189999
20-03-2012,160.199997,140.050003,13238.4502,65.150002,125.27,108.42,57395,2.363,1679.75,707.8,79.755,48.990002,40.779999
21-03-2012,160.630005,140.520004,13170.79004,66.150002,124.21,106.34,56655,2.296,1656.5,690.5,79.805,50.27,40.529999
22-03-2012,158.199997,139.179993,13124.40039,64,124.04,106.81,56960,2.282,1641.15,663,79.77,48.759998,39.900002
23-03-2012,160.880005,139.320007,13045.99023,64.75,123.3,105.53,56401,2.233,1624.4,659.6,79.895,49.080002,40.209999
26-03-2012,163.169998,140.649994,13082.62012,68.5,125.04,106.81,57056,2.253,1640.05,662.15,79.495,50.810001,40.709999
27-03-2012,164.520004,141.740005,13242.08984,68.699997,125.74,107.09,57750,2.187,1655.45,660,79.125,50.84,40.849998
28-03-2012,162.710007,141.100006,13195.38965,67,125.18,106.83,57341,2.201,1656.4,644.8,79.29,49.650002,40.130001
29-03-2012,161.139999,139.639999,13125.99023,65.800003,124.23,105.59,56682,2.159,1641.85,648.8,79.275,48.759998,40.029999
